1.
2	{[STOP][文件无法打开]"^0"是应用程序不支持的文件格式。[OK]}
219	{通道7 Aux 2 发送}
220	{通道8 Aux 2 发送}
221	{通道9 Aux 2 发送}
222	{通道10 Aux 2 发送}
223	{通道11 Aux 2 发送}
224	{通道12 Aux 2 发送}
225	{通道13 Aux 2 发送}
226	{通道14 Aux 2 发送}

227	{通道1 Aux 3 发送}
228	{通道2 Aux 3 发送}
229	{通道3 Aux 3 发送}
230	{通道4 Aux 3 发送}
231	{通道5 Aux 3 发送}
232	{通道6 Aux 3 发送}
233	{通道7 Aux 3 发送}
234	{通道8 Aux 3 发送}
235	{通道9 Aux 3 发送}
236	{通道10 Aux 3 发送}
237	{通道11 Aux 3 发送}
238	{通道12 Aux 3 发送}
239	{通道13 Aux 3 发送}
240	{通道14 Aux 3 发送}

241	{通道1 Aux 4 发送}
242	{通道2 Aux 4 发送}
243	{通道3 Aux 4 发送}
244	{通道4 Aux 4 发送}
245	{通道5 Aux 4 发送}
246	{通道6 Aux 4 发送}
247	{通道7 Aux 4 发送}
248	{通道8 Aux 4 发送}
249	{通道9 Aux 4 发送}
250	{通道10 Aux 4 发送}
251	{通道11 Aux 4 发送}
252	{通道12 Aux 4 发送}
253	{通道13 Aux 4 发送}
254	{通道14 Aux 4 发送}

255	{Aux 1 返回音量}
256	{Aux 2 返回音量}
257	{Aux 3 返回音量}
258	{Aux 4 返回音量}

259	{通道1 峰值表}
260	{通道2 峰值表}
261	{通道3 峰值表}
262	{通道4 峰值表}
263	{通道5 峰值表}
264	{通道6 峰值表}
265	{通道7 峰值表}
266	{通道8 峰值表}
267	{通道9 峰值表}
268	{通道10 峰值表}
269	{通道11 峰值表}
270	{通道12 峰值表}
271	{通道13 峰值表}
272	{通道14 峰值表}

273	{主音量 左 峰值表}
274	{主音量 右 峰值表}

275	{通道1 Aux 4 前置推子开/关}
276	{通道2 Aux 4 前置推子开/关}
277	{通道3 Aux 4 前置推子开/关}
278	{通道4 Aux 4 前置推子开/关}
279	{通道5 Aux 4 前置推子开/关}
280	{通道6 Aux 4 前置推子开/关}
281	{通道7 Aux 4 前置推子开/关}
282	{通道8 Aux 4 前置推子开/关}
283	{通道9 Aux 4 前置推子开/关}
284	{通道10 Aux 4 前置推子开/关}
285	{通道11 Aux 4 前置推子开/关}
286	{通道12 Aux 4 前置推子开/关}
287	{通道13 Aux 4 前置推子开/关}
288	{通道14 Aux 4 前置推子开/关}

289	{EQ模式}

1000	{通道1 音频输入 左}
1001	{通道1 音频输入 右}
1002	{通道2 音频输入 左}
1003	{通道2 音频输入 右}

1004	{通道3 音频输入 左}
1005	{通道3 音频输入 右}

1006	{通道4 音频输入 左}
1007	{通道4 音频输入 右}

1008	{通道5 音频输入 左}
1009	{通道5 音频输入 右}

1010	{通道6 音频输入 左}
1011	{通道6 音频输入 右}

1012	{通道7 音频输入 左}
1013	{通道7 音频输入 右}

1014	{通道8 音频输入 左}
1015	{通道8 音频输入 右}

1016	{通道9 音频输入 左}
1017	{通道9 音频输入 右}

1018	{通道10 音频输入 左}
1019	{通道10 音频输入 右}

1020	{通道11 音频输入 左}
1021	{通道11 音频输入 右}

1022	{通道12 音频输入 左}
1023	{通道12 音频输入 右}

1024	{通道13 音频输入 左}
1025	{通道13 音频输入 右}

1026	{通道14 音频输入 左}
1027	{通道14 音频输入 右}

1028	{Aux返回1 输入 左}
1029	{Aux返回1 输入 右}

1030	{Aux返回2 输入 左}
1031	{Aux返回2 输入 右}

1032	{Aux返回3 输入 左}
1033	{Aux返回3 输入 右}

1034	{Aux返回4 输入 左}
1035	{Aux返回4 输入 右}

1036	{混音器级联输入 左}
1037	{混音器级联输入 右}

1038	{Aux 1 级联输入 左}
1039	{Aux 2 级联输入 左}
1040	{Aux 3 级联输入 左}
1041	{Aux 4 级联输入 左}

1042	{Aux 1 级联输入 右}
1043	{Aux 2 级联输入 右}
1044	{Aux 3 级联输入 右}
1045	{Aux 4 级联输入 右}

1200	{MIDI输入}

1400	{主音量 CV输入}
1401	{通道1 音量 CV输入}
1402	{通道2 音量 CV输入}
1403	{通道3 音量 CV输入}
1404	{通道4 音量 CV输入}
1405	{通道5 音量 CV输入}
1406	{通道6 音量 CV输入}
1407	{通道7 音量 CV输入}
1408	{通道8 音量 CV输入}
1409	{通道9 音量 CV输入}
1410	{通道10 音量 CV输入}
1411	{通道11 音量 CV输入}
1412	{通道12 音量 CV输入}
1413	{通道13 音量 CV输入}
1414	{通道14 音量 CV输入}
1415	{通道1 声像 CV输入}
1416	{通道2 声像 CV输入}
1417	{通道3 声像 CV输入}
1418	{通道4 声像 CV输入}
1419	{通道5 声像 CV输入}
1420	{通道6 声像 CV输入}
1421	{通道7 声像 CV输入}
1422	{通道8 声像 CV输入}
1423	{通道9 声像 CV输入}
1424	{通道10 声像 CV输入}
1425	{通道11 声像 CV输入}
1426	{通道12 声像 CV输入}
1427	{通道13 声像 CV输入}
1428	{通道14 声像 CV输入}

1600	{音频输出 左}
1601	{音频输出 右}
1602	{Aux发送输出 1 左}
1603	{Aux发送输出 2 左}
1604	{Aux发送输出 3 左}
1605	{Aux发送输出 4 左}
1606	{Aux发送输出 1 右}
1607	{Aux发送输出 2 右}
1608	{Aux发送输出 3 右}
1609	{Aux发送输出 4 右}

2200	{主控}
2201	{音量}
2202	{声像}
2203	{EQ}
2204	{独奏}
2205	{静音}
2206	{发送}
2207	{返回}
















51.
// Device type name (short, medium, full)


1	{NN-XT,NN-XT 采样器,NN-XT 高级采样器}

2	{延音踏板}
3	{触后}
4	{表情}
5	{呼吸控制}
6	{另存为 NN-XT 音色…}
7	{Reason NN-XT 采样器音色文件}

10	{更改 ^0}

11	{^0 秒}
12	{^0 毫秒}

13	{^0: ^1}

14	{*^0}
15	{  ** 无样本 **}

16	{^0 字节}
17	{^0 kB}
18	{^0 MB}
19	{^0 GB}

20	{立体声}
21	{单声道}
22	{^0 位}
23	{^0 ^1}
24	{^0 ^1}

30	{添加区域}
31	{删除区域}
32	{复制区域}
33	{将参数复制到选定区域}
34	{创建力度交叉淡化}
35	{粘贴区域}

50	{设置区域低键}
51	{设置区域高键}
52	{设置区域键范围}
53	{移动区域}
54	{创建组}
55	{自动映射区域}
56	{按半音自动映射区域}
57	{根据音高检测设置根音}
58	{按音符排序区域}
59	{按力度排序区域}

60	{正向}
61	{正向循环}
62	{正向-反向}
63	{正向-延音}
64	{反向}

65	{开}
66	{关}
67	{关}
68	{关}
69	{关}
70	{关}
71	{关}
72	{关}

80	{^0%}
81	{^0 dB}
82	{-∞}
83	{^0 Hz}
84	{^0 kHz}
85	{^0 音分}
86	{^0 音分/键}
87	{^0 帧}
88	{–}

90	{正在根据检测到的音高设置根音…}
91	{取消}

92	{Reason Factory Sound Bank:NN-XT Sampler Patches/ B GrandPiano 1.0.sxt}

93	{^0 ^1}

100	{调制轮}
101	{外部控制器}
102	{音符开启指示器}
103	{通过 MIDI 选择区域}
104	{独奏样本}
105	{外部控制器源}
106	{高质量插值}
107	{滤波器频率}
108	{滤波器共振}
109	{放大器包络起音}
110	{放大器包络衰减}
111	{放大器包络释放}
112	{调制包络衰减}
113	{主音量}
114	{样本加载进度}

500	{弯音}

1200	{输入}
1201	{来自效果器}

1400	{单声道门输入}
1401	{单声道 CV 输入}
1402	{振荡器音高调制输入}
1403	{滤波器截止调制输入}
1404	{滤波器共振调制输入}
1405	{LFO 1 组速率输入}
1406	{音量调制输入}
1407	{声像调制输入}
1408	{调制轮调制输入}
1409	{放大器包络门输入}
1410	{调制包络门输入}
1411	{弯音轮调制输入}

1600	{输出 1/左主输出}
1601	{输出 2/右主输出}
1602	{输出 3}
1603	{输出 4}
1604	{输出 5}
1605	{输出 6}
1606	{输出 7}
1607	{输出 8}
1608	{输出 9}
1609	{输出 10}
1610	{输出 11}
1611	{输出 12}
1612	{输出 13}
1613	{输出 14}
1614	{输出 15}
1615	{输出 16}

1616	{1–2}
1617	{3–4}
1618	{5–6}
1619	{7–8}
1620	{9–10}
1621	{11–12}
1622	{13–14}
1623	{15–16}

1800	{到效果器}

2200	{性能}
2201	{主控}

6001	{连奏}
6002	{键复音}
6003	{滑音}
6004	{LFO1 速率}
6005	{组单音}

6021	{低键}
6022	{高键}
6023	{低力度}
6024	{高力度}
6025	{根音键}
6026	{样本调音}
6027	{样本开始}
6028	{样本结束}
6029	{循环开始}
6030	{循环结束}
6031	{播放模式}
6032	{播放模式}
6033	{输出}
6034	{淡入}
6035	{淡出}
6036	{交替}

6051	{滤波器频率调制量}
6052	{调制包络衰减调制量}
6053	{LFO1 调制量}
6054	{滤波器共振调制量}
6055	{音量调制量}
6056	{LFO1 速率调制量}

6057	{调制轮到滤波器频率调制}
6058	{调制轮到调制包络衰减调制}
6059	{调制轮到 LFO1 调制}
6060	{调制轮到滤波器共振调制}
6061	{调制轮到音量调制}
6062	{调制轮到 LFO1 速率调制}
6063	{外部控制器到滤波器频率调制}
6064	{外部控制器到调制包络衰减调制}
6065	{外部控制器到 LFO1 调制}
6066	{外部控制器到滤波器共振调制}
6067	{外部控制器到音量调制}
6068	{外部控制器到 LFO1 速率调制}

6071	{滤波器频率力度量}
6072	{调制包络衰减力度量}
6073	{音量力度量}
6074	{音量起音力度量}
6075	{样本开始力度量}

6091	{LFO1 键同步}
6092	{LFO1 速率}
6093	{LFO1 延迟}
6094	{LFO1 波形}
6095	{LFO1 到音高}
6096	{LFO1 到滤波器频率}
6097	{LFO1 到音量}
6098	{LFO1 同步模式}

6112	{LFO2 速率}
6113	{LFO2 延迟}
6114	{LFO2 到音高}
6115	{LFO2 到声像}

6131	{调制包络延迟}
6132	{调制包络起音}
6133	{调制包络保持}
6134	{调制包络衰减}
6135	{调制包络延音}
6136	{调制包络释放}
6137	{调制包络键到衰减}
6138	{调制包络到音高}
6139	{调制包络到滤波器频率}

6151	{弯音范围}
6152	{音高八度}
6153	{音高半音}
6154	{音高微调}
6155	{音高键盘跟踪}

6171	{滤波器开/关}
6172	{滤波器频率}
6173	{滤波器共振}
6174	{滤波器键盘跟踪}
6175	{滤波器模式}

6191	{放大器包络延迟}
6192	{放大器包络起音}
6193	{放大器包络保持}
6194	{放大器包络衰减}
6195	{放大器包络延音}
6196	{放大器包络释放}
6197	{放大器包络键到衰减}
6198	{放大器包络增益}
6199	{声像}
6200	{扩展}
6201	{扩展模式}




















52.
1	{EQ,PEQ-2 EQ,PEQ-2 2Band 参数均衡器}


100	{设备状态}

101	{EQ A 频率}
102	{EQ A Q值}
103	{EQ A 增益}
104	{EQ B 频率}
105	{EQ B Q值}
106	{EQ B 增益}
107	{EQ B 开/关}

108	{峰值表}

1000	{音频输入 左}
1001	{音频输入 右}


1200	{MIDI输入}


1400	{EQ A 频率 CV输入}
1401	{EQ B 频率 CV输入}


1600	{音频输出 左}
1601	{音频输出 右}


1800	{MIDI输出}


2200	{主控}
2201	{效果}



















53.
1	{Phaser,PH-90 相位器,PH-90 相位器}


100	{设备状态}

101	{频率}
102	{刻度的间隔}
103	{刻度的深度}
104	{LFO速率}
105	{调制的深度}
106	{反馈}
107	{LFO与节奏同步}

108	{峰值表}


1000	{音频输入 左}
1001	{音频输入 右}


1200	{MIDI输入}


1400	{频率 CV输入}
1401	{LFO速率 CV输入}


1600	{音频输出 左}
1601	{音频输出 右}


1800	{MIDI输出}


2200	{主控}
2201	{效果}
2202	{LFO}















54.
1	{RV7000,RV7000,RV7000 MkII Reverb}

2	{保存RV7000的预设为…}
3	{Reason RV7000的预设文件}

4	{大厅}
5	{房间}
6	{小空间}
7	{舞台}
8	{反向}
9	{板式}
10	{弹簧}
11	{多点延迟}
12	{回声}

13	{}

14	{大小
^0}
15	{扩散
^0}
16	{房间形状
^0}
17	{早期反射->后期反射
^0}
18	{早期反射电平
^0}
19	{预延迟
^0}
20	{调制速率
^0}
21	{调制量
^0}
22	{低频阻尼
^0}
23	{回声时间
^0}
24	{扩散
^0}
25	{长度
^0}
26	{混响干/湿
^0}
27	{墙壁不规则
^0}
28	{左延迟
^0}
29	{右延迟
^0}
30	{立体声电平
^0}
31	{单声道延迟
^0}
32	{单声道电平
^0}
33	{分散频率
^0}
34	{分散量
^0}
35	{立体声
^0}
36	{编辑选择
^0}
37	{重复时间
^0}
38	{点击延迟
^0}
39	{点击声像
^0}
40	{点击电平
^0}
41	{算法
^0}
42	{起音
^0}
43	{保持
^0}
44	{释放
^0}
45	{阈值
^0}
46	{衰减调制
^0}
47	{触发源
^0}
48	{高通
^0}
49	{低频增益
^0}
50	{低频频率
^0}
51	{参数增益
^0}
52	{参数频率
^0}
53	{参数Q值
^0}
54	{节奏同步
^0}
55	{密度
^0}
56	{电平/阈值}
57	{门限}

60	{^0 米}
61	{^0 dB}
62	{^0 Hz}
63	{^0 毫秒}
64	{^0%}
65	{^0/16}
66	{^0/8T}

70	{音频}
71	{MIDI/CV}
72	{点击 1}
73	{点击 2}
74	{点击 3}
75	{点击 4}
76	{重复点击}
77	{-∞}
78	{一}
79	{二}
80	{三}
81	{四}
82	{开}
83	{关}

84	{旋钮 1}
85	{旋钮 2}
86	{旋钮 3}
87	{旋钮 4}
88	{旋钮 5}
89	{旋钮 6}
90	{旋钮 7}
91	{旋钮 8}

92	{Reason 工厂音色库:RV7000 MkII 预设/ALL 板式扩散.rv7}

95	{^0秒}
96	{^0千赫}
97	{^0赫兹}
98	{^0分贝}

99	{浏览样本:}

100	{设备状态}
101	{干/湿}
102	{衰减}
103	{高频阻尼}
104	{高频均衡}

105	{门限 开/关}
106	{均衡 开/关}

107	{编辑模式}
108	{输入峰值表}
109	{门限包络表}

110	{算法}

111	{小 大小}
112	{小 调制频率}
113	{小 房间类型}
114	{小 低频阻尼}
115	{小 墙壁配置}
116	{小 预延迟}
117	{小 调制反映量}

118	{房间 大小}
119	{房间 扩散}
120	{房间 房间类型}
121	{房间 早期反射->后期反射时间}
122	{房间 早期反射电平}
123	{房间 预延迟}
124	{房间 调制反映量}

125	{大厅 大小}
126	{大厅 扩散}
127	{大厅 房间类型}
128	{大厅 早期反射->后期反射时间}
129	{大厅 早期反射电平}
130	{大厅 预延迟}
131	{大厅 调制反映量}

132	{舞台 大小}
133	{舞台 扩散}
134	{舞台 立体声电平}
135	{舞台 单声道电平}

136	{板式 低频阻尼}
137	{板式 预延迟}

138	{弹簧 长度}
139	{弹簧 扩散}
140	{弹簧 分散频率}
141	{弹簧 低频阻尼}
142	{弹簧 立体声 开/关}
143	{弹簧 预延迟}
144	{弹簧 分散反映量}

145	{回声 节奏同步}
146	{回声 时间 (步进)}
147	{回声 扩散}
148	{回声 低频阻尼}
149	{回声 扩散}
150	{回声 预延迟}

151	{多点延迟 节奏同步}
152	{多点延迟 重复时间 (步进)}
153	{多点延迟 扩散}
154	{多点延迟 低频阻尼}
155	{多点延迟 点击 1 延迟 (步进)}
156	{多点延迟 点击 2 延迟 (步进)}
157	{多点延迟 点击 3 延迟 (步进)}
158	{多点延迟 点击 4 延迟 (步进)}
159	{多点延迟 点击 1 电平}
160	{多点延迟 点击 2 电平}
161	{多点延迟 点击 3 电平}
162	{多点延迟 点击 4 电平}
163	{多点延迟 点击 1 声像}
164	{多点延迟 点击 2 声像}
165	{多点延迟 点击 3 声像}
166	{多点延迟 点击 4 声像}

167	{反向 节奏同步}
168	{反向 长度 (步进)}
169	{反向 干/湿}

170	{门限 阈值}
171	{门限 衰减调制}
172	{门限 触发源}
173	{门限 高通}
174	{门限 起音}
175	{门限 保持}
176	{门限 释放}

177	{均衡 低频增益}
178	{均衡 低频频率}
179	{均衡 增益}
180	{均衡 频率}
181	{均衡 Q值}

182	{反向 密度}

183	{卷积 样本}
184	{卷积 大小}
185	{卷积 低频阻尼}
186	{卷积 立体声模式}
187	{卷积 增益}

188	{多点延迟 点击选择}

189	{旋钮 1}
190	{旋钮 2}
191	{旋钮 3}
192	{旋钮 4}
193	{旋钮 5}
194	{旋钮 6}
195	{旋钮 7}
196	{旋钮 8}

197	{门限输入包络表}

198	{样本加载状态}

500	{舞台 单声道延迟}
501	{舞台 左延迟}
502	{舞台 右延迟}
503	{回声时间}
504	{多点延迟 重复时间}
505	{多点延迟 点击 1 延迟}
506	{多点延迟 点击 2 延迟}
507	{多点延迟 点击 3 延迟}
508	{多点延迟 点击 4 延迟}
509	{反向 长度}
510	{卷积长度}
511	{卷积预延迟}

1000	{音频输入 左}
1001	{音频输入 右}

1200	{MIDI输入}

1400	{衰减 CV输入}
1401	{高频阻尼 CV输入}
1402	{门限 触发输入}

1600	{音频输出 左}
1601	{音频输出 右}

2200	{主控}
2201	{小}
2202	{房间}
2203	{大厅}
2204	{舞台}
2205	{板式}
2206	{弹簧}
2207	{回声}
2208	{点击}
2209	{反向}
2210	{门限}
2211	{均衡}
2212	{卷积}

6000	{卷积}
6001	{样本
^0}
6002	{*^0}
6003	{长度
^0%}
6004	{立体声模式
^0}
6005	{增益
^0}

6010	{立体声}
6011	{立体声75%}
6012	{立体声50%}
6013	{立体声25%}
6014	{单声道}
6015	{单声道->立体声 慢}
6016	{单声道->立体声 快}
6017	{立体声->单声道 慢}
6018	{立体声->单声道 快}
6019	{并行}

6030	{***Load***}






















55.
1	{Reverb,RV-7 混响,RV-7 数字混响}


100	{设备状态}

101	{房间大小}
102	{残响长度}
103	{高音截止}
104	{类型}
105	{干/湿}

106	{峰值表}

1000	{音频输入 左}
1001	{音频输入 右}


1200	{MIDI输入}


1400	{衰减 CV输入}


1600	{音频输出 左}
1601	{音频输出 右}


1800	{MIDI输出}


2200	{主控}
2201	{效果}

















56.
// Device type name (short, medium, full)



1 {Dr. Octo Rex,Dr. Octo Rex,Dr. Octo Rex 循环播放器}

2 {选择切片}
3 {设置切片音高}
4 {设置切片声像}
5 {设置切片电平}
6 {设置切片衰减}
7 {设置切片反转}
8 {设置切片滤波器频率}
9 {设置切片交替组}
10 {设置切片输出}
11 {运行}
12 {复制循环到轨道}
13 {切片编辑模式}
14 {延音踏板}
15 {选择上一个音色}
16 {选择下一个音色}
17 {另存为 Dr. Octo Rex 音色…}
18 {Reason Dr. Octo Rex 音色文件}
19 {Reason Factory Sound Bank:Dr Octo Rex Patches/ Acoustic Drums | College  130 – 1.drex}

21 {*^0}
22-Mac {LucidaGrande 8 0 0 0 0}
22-Win {Arial 8 0 0 0 1}
23 {0}
24 {ProBrouseBig 12 0 0 0 2}
25-Mac {2}
25-Win {1}
26 {循环 1}
27 {循环 2}
28 {循环 3}
29 {循环 4}
30 {循环 5}
31 {循环 6}
32 {循环 7}
33 {循环 8}
34 {循环电平}
35 {循环移调}
36 {循环 ^0: ^1}
37 {循环 ^0}
38 {左–右}
39 {^0–^1}
40 {音高}
41 {声像}
42 {电平}
43 {衰减}
44 {反转}
45 {滤波器频率}
46 {交替}
47 {输出}

50 {浏览 REX 循环:}

100 {放大器包络起音}
101 {放大器包络衰减}
102 {放大器包络保持}
103 {放大器包络释放}
104 {主电平}

105 {滤波器包络起音}
106 {滤波器包络衰减}
107 {滤波器包络保持}
108 {滤波器包络释放}
109 {滤波器包络量}

110 {滤波器开/关}
111 {滤波器频率}
112 {滤波器共振}
113 {滤波器模式}

114 {❮未使用的参数 – 请勿翻译❯}
115 {振荡器八度}
116 {移调}
117 {振荡器微调}
118 {振荡器包络量}

119 {LFO1 速率}
120 {LFO1 量}
121 {LFO1 波形}
122 {LFO1 目标}

123 {复音}
124 {低带宽开/关}
125 {高质量插值}

126 {滤波器频率调制轮量}
127 {滤波器共振调制轮量}
128 {滤波器衰减调制轮量}
129 {弯音范围}

130 {放大器力度量}
131 {滤波器包络力度量}
132 {滤波器衰减力度量}
133 {LFO 同步启用}

134 {选择的切片编号}
135 {调制轮}
136 {音符开启指示器}
137 {运行}
138 {通过 MIDI 选择切片}
139 {❮内部通过 MIDI 选择的切片参数 – 请勿翻译❯}

140 {采样加载进度}

141 {启用循环播放}
142 {循环槽}

143 {静音}

144 {触发下一个设置}

145 {选择的循环槽}
146 {跟随循环播放}
147 {❮内部通过循环槽更改选择的循环编辑器参数 – 请勿翻译❯}

148 {选择的切片参数}

149 {音符到槽}

150 {循环 1 电平}
151 {循环 2 电平}
152 {循环 3 电平}
153 {循环 4 电平}
154 {循环 5 电平}
155 {循环 6 电平}
156 {循环 7 电平}
157 {循环 8 电平}

158 {循环 1 移调}
159 {循环 2 移调}
160 {循环 3 移调}
161 {循环 4 移调}
162 {循环 5 移调}
163 {循环 6 移调}
164 {循环 7 移调}
165 {循环 8 移调}




500	{弯音}

1200	{输入}
1201	{来自 FX}

1400	{放大器包络门输入}
1401	{滤波器包络门输入}
1402	{滤波器1 截止调制输入}
1403	{滤波器1 共振调制输入}
1404	{放大器电平调制输入}
1405	{振荡器音高调制输入}
1406	{调制轮调制输入}
1407	{弯音轮调制输入}

1600	{左}
1601	{右}
1602	{切片输出 1}
1603	{切片输出 2}
1604	{切片输出 3}
1605	{切片输出 4}
1606	{切片输出 5}
1607	{切片输出 6}
1608	{切片输出 7}
1609	{切片输出 8}

1800	{到 FX}

2000	{滤波器包络调制输出 (单声道)}
2001	{LFO 调制输出}
2002	{切片门输出}

2200	{放大器}
2201	{滤波器}
2202	{振荡器}
2203	{键盘}
2204	{LFO}
2205	{调制轮}
2206	{性能}
2207	{力度}
2208	{模式}













57.
1 {Kong,Kong,Kong 鼓设计器}

2 {ProBrouseBig 12 0 0 0 2}
3-Mac {1}
3-Win {0}

6-Mac {LucidaGrande 8 0 0 0 0}
6-Win {Arial 8 0 0 0 1}
7 {1}
8 {ProCombiProgramm 8 0 0 0 2}
9-Mac {-1}
9-Win {0}
12 {ProCombiProgramm 8 0 0 0 2}
13-Mac {-1}
13-Win {0}

14 {保存 Kong 音色为…}
15 {Reason Kong 音色文件}
16 {保存 Kong 音色}
17	{Reason Factory Sound Bank:Kong Patches/ Kong Kit.kong}
18	{Reason Factory Sound Bank:Kong Patches/Kong Sounds & Samples/1. Bass Drums}

19 {折叠时设置背景}

20 {Kong 鼓音色}
21 {Reason Kong 鼓音色文件}
22 {保存 Kong 鼓音色}

23 {加载 Kong 鼓}
24 {加载 Kong 鼓组}

25 {鼓 ^0}

26 {选择下一个鼓音色}
27 {选择上一个鼓音色}
28 {浏览鼓音色}
29 {保存鼓音色}

30 {*^0}

31 {粘贴鼓音色}
32 {设置背景}
33 {移除背景}
34	{[WARN][Are you sure you want to remove the backdrops?][Cancel][Remove]}

35 {无}
36 {旁通}
37 {NN-纳米采样器}
38 {Nurse Rex 循环播放器}

39 {-}

40 {设置打击垫名称}

41 {选择上一个样本}
42 {选择下一个样本}
43 {浏览样本}
44 {开始采样}
45 {击打}
46 {样本}
47 {力度}
48 {电平}
49 {力度}
50 {低}
51 {高}
52 {备用}
53 {音高}
54 {击打名称}
55 {起音: ^0}
56 {弯音量: ^0 音分}
57 {弯音时间: ^0}
58 {力度 → 样本起始: ^0}
59 {力度 → 衰减: ^0}
60 {调制轮 → 衰减: ^0}
61 {力度 → 音高: ^0}
62 {调制轮 → 音高: ^0}
63 {力度 → 弯音量: ^0}
64 {力度 → 电平: ^0}
65 {衰减形状: 斜坡}
66 {衰减形状: 门控}
67 {击打 ^0}
68 {设置复音}
69 {设置起音}
70 {设置衰减形状}
71 {设置反向}
72 {设置弯音量}
73 {设置弯音时间}
74 {设置样本}
75 {设置样本电平}
76 {设置样本力度范围}
77 {设置样本力度范围}
78 {设置样本调音}
79 {设置样本备用}
80 {设置击打名称}
81 {设置力度 → 样本起始}
82 {设置力度 → 衰减}
83 {设置力度 → 音高}
84 {设置力度 → 弯音量}
85 {设置力度 → 电平}
86 {设置调制轮 → 衰减}
87 {设置调制轮 → 音高}
88 {重新排序区域}
89 {添加层}
90 {移除层}
91 {设置时间拉伸激活}
92 {设置时间拉伸}
93 {时间拉伸: ^0 原始速度}
94 {衰减: ^0 (DM 衰减)}
95 {样本起始: +^0 帧 (DM 变量)}
96 {音高: ^0 音分 (DM 音高)}
97 {电平: ^0 (DM 电平)}
98 {更改复音模式}
99 {切换反向}
100 {添加层}
101 {移除层}
102 {编辑样本}
103 {备用层}

150 {将所有静音和独奏设置为关闭}
151 {将所有静音和独奏设置为关闭}

152 {打击垫鼓分配}
153 {打击垫击打分配}
154 {打击垫静音/独奏}
155 {打击垫组}
156 {鼓衰减偏移}
157 {鼓音高偏移}
158 {鼓声像}
159 {鼓电平}
160 {鼓音调}
161 {鼓电平}
162 {鼓发送: 总线 FX, 辅助 1, 辅助 2}

163 {快速编辑模式}

164 {ProCombiProgramm 8 0 0 0 2}
165-Mac {-3}
165-Win {-2}

166 {快速采样}

167 {将 GM 映射转换为打击垫映射}
168 {将打击垫映射转换为 GM 映射}

170 {浏览鼓音色:}
171 {浏览样本:}
172 {浏览 REX 循环:}

200 {^0%}
201 {S}
202 {E}
203 {切片}
204 {音高}
205 {反向}
206 {电平}
207 {触发}
208 {切换复音}
209 {放大器包络类型: ^0}
210 {门控}
211 {ADSR}
212 {保持: ^0}
213 {释放: ^0}
214 {力度到起音: ^0}
215 {力度到衰减: ^0}
216 {调制轮到衰减: ^0}
217 {力度到释放: ^0}
218 {调制轮到释放: ^0}
219 {力度到音高: ^0}
220 {力度到电平: ^0}
221 {选择切片}
222 {循环触发}
223 {块触发}
224 {切片触发}
225 {停止}
226 {未分配块触发}
227 {无块}
228 {将块触发分配为击打类型到打击垫将创建块}
229 {打击垫 ^0}
230 {打击垫 ^0 分配为触发此块}
231 {拖动句柄以调整播放切片范围}
232 {播放切片范围的开始}
233 {播放切片范围的结束}
234 {选定的切片}
235 {选定切片的音高偏移}
236 {选定切片的输出电平}
237 {勾选以反向选定切片}
238 {勾选以在切片触发击打期间触发选定切片}
239 {拖动以调整块大小}
240 {起音: ^0 (DM 变量)}
241 {衰减: ^0 (DM 衰减)}
242 {音高: ^0 (DM 音高)}
243 {电平: ^0 (DM 电平)}

270 {更改复音}
271 {更改放大器包络类型}
272 {更改保持}
273 {更改释放}
274 {更改力度到起音量}
275 {更改力度到衰减量}
276 {更改调制轮到衰减量}
277 {更改力度到释放量}
278 {更改调制轮到释放量}
279 {更改力度到音高量}
280 {更改力度到电平量}
281 {更改切片范围}
282 {选择切片}
283 {更改切片音高}
284 {更改切片反向}
285 {更改切片电平}
286 {更改切片触发}
287 {更改块长度}

300 {通过采样创建采样播放器}
301 {设置模块状态}
302 {设置模块}

350 {^0 ^1}
351 {3–4}
352 {5–6}
353 {7–8}
354 {9–10}
355 {11–12}
356 {13–14}
357 {15–16}
358 {发送1}
359 {发送2}
360 {外部FX}

1000 {总线 FX 音频输入左}
1001 {总线 FX 音频输入右}
1002 {来自外部 FX 输入左}
1003 {来自外部 FX 输入右}

1200 {输入}
1201 {来自 FX}

1400 {音序器控制门输入}
1401 {音序器控制 CV 输入}
1402 {主音量输入}
1403 {调制轮输入}
1404 {音高轮输入}
1405 {主 FX 参数 1 输入}
1406 {主 FX 参数 2 输入}
1407 {总线 FX 参数 1 输入}
1408 {总线 FX 参数 2 输入}
1409 {打击垫 1 门输入}
1410 {打击垫 2 门输入}
1411 {打击垫 3 门输入}
1412 {打击垫 4 门输入}
1413 {打击垫 5 门输入}
